"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009593","detection of chemical stimulus","14/879","69/16177",0.202898550724638,3.73411815139074,5.45548908725382,1.66244043073082e-05,0.0190565364737382,0.0174288915831647,"Itgav/Tas1r3/Nr4a1/Tlr4/Or2h1/Or13e8/Or7e178/Or13j1/Rtp3/Casr/Or6e1/Clec7a/Kcnmb3/Or10h5",14
"GO:0072348","sulfur compound transport","13/879","61/16177",0.213114754098361,3.92213581006733,5.48086825538791,1.90217459929619e-05,0.0190565364737382,0.0174288915831647,"Lrrc8c/Slc7a5/Slc19a2/Slc26a8/Slc1a1/Slc25a16/Slc47a1/Mgst1/Slc26a7/Slc6a13/Slc1a4/Slc13a3/Gja1",13
"GO:0001503","ossification","44/879","419/16177",0.105011933174224,1.93262575990834,4.63635357675992,2.16666937595771e-05,0.0190565364737382,0.0174288915831647,"Dhh/Kremen1/Il6st/Klf10/Mmp2/Wwtr1/Slc20a2/Bmp4/Sgms2/Rassf2/Mir211/Egr2/Phex/Chrd/Sox9/Smad5/Nfatc1/Tnfaip6/Fstl3/Nppc/Fbn2/Myog/Alox15/Bmp5/Ptk2b/Ranbp3l/Nr1i3/Mir23a/Ddr2/Gpc3/Myoc/Mir24-2/Atp6v1b1/Casr/Bglap/Gja1/Wnt4/Six2/Fgfr2/Bglap2/Mir342/Gdf2/Clec3b/Bmp2",44
"GO:0031214","biomineral tissue development","23/879","162/16177",0.141975308641975,2.61289484402871,4.94552916941607,2.23062261150126e-05,0.0190565364737382,0.0174288915831647,"Hey2/Klf10/Slc20a2/Bmp4/Sgms2/Phex/Sox9/Tuft1/Fbn2/Alox15/Ptk2b/Ddr2/Wls/Ambn/Gpc3/Otop1/Bglap/Gja1/Wnt4/Fgfr2/Bglap2/Clec3b/Bmp2",23
"GO:0120255","olefinic compound biosynthetic process","8/879","24/16177",0.333333333333333,6.13462267728479,6.03392957835127,2.48189074590839e-05,0.0190565364737382,0.0174288915831647,"Clcn2/Bmp5/Egr1/Bglap/Wnt4/Bglap2/Srd5a2/Bmp2",8
"GO:0032653","regulation of interleukin-10 production","12/879","54/16177",0.222222222222222,4.0897484515232,5.45142139805739,2.53945176671493e-05,0.0190565364737382,0.0174288915831647,"Jak3/Tnfrsf21/Rbm47/Hmgb1/Tlr4/Cd28/F2rl1/Mir98/Sash3/Clec7a/Il13/Cd84",12
"GO:0055008","cardiac muscle tissue morphogenesis","13/879","63/16177",0.206349206349206,3.79762356212868,5.33298731247288,2.74194769406306e-05,0.0190565364737382,0.0174288915831647,"Hey2/Ttn/Heg1/Zfpm1/Myl3/Dsp/Xirp2/Ankrd1/Foxh1/Tcap/Fgfr2/Myh7/Bmp2",13
"GO:0032613","interleukin-10 production","12/879","57/16177",0.210526315789474,3.87449853302197,5.21110325819071,4.50562980093574e-05,0.0273998612269405,0.0250596015375729,"Jak3/Tnfrsf21/Rbm47/Hmgb1/Tlr4/Cd28/F2rl1/Mir98/Sash3/Clec7a/Il13/Cd84",12
"GO:0010566","regulation of ketone biosynthetic process","7/879","20/16177",0.35,6.44135381114903,5.83652405115791,5.6700562346325e-05,0.0306498039794301,0.0280319622266568,"Clcn2/Bmp5/Egr1/Bglap/Wnt4/Bglap2/Bmp2",7
"GO:0042063","gliogenesis","40/879","390/16177",0.102564102564103,1.88757620839532,4.2530533429562,8.54397049770989e-05,0.0380432081762868,0.0347938856409724,"Zcchc24/Slc7a5/Clu/Trf/Adgrg6/Dhh/Sox4/Il6st/Tnfrsf21/Hapln3/Pmp22/Bmp4/Cdkn2c/Ano1/Clcn2/Egr2/Arsg/Sox9/Ror2/Gap43/Gcm1/Tmem98/Lepr/Tlr4/Zfp488/Rras2/Itgb4/Cdkn2b/Ptk2b/Tert/Mir23a/Myoc/Slc45a3/Stap1/Mal/Prx/Emx1/Erbb3/Bmp2/Mir219a-2",40
"GO:0014888","striated muscle adaptation","11/879","52/16177",0.211538461538462,3.89312592981535,5.00877849592947,8.88892440830083e-05,0.0380432081762868,0.0347938856409724,"Hey2/Bmp4/Cacna1s/Tnnt1/Nfatc1/Myog/Myoz2/Myoc/Tcap/Myh7/Bmp2",11
"GO:0032353","negative regulation of hormone biosynthetic process","5/879","10/16177",0.5,9.20193401592719,6.21890940642091,9.38373069096488e-05,0.0380432081762868,0.0347938856409724,"Atp1a1/Pde8b/Bmp5/Wnt4/Bmp2",5
"GO:0030282","bone mineralization","18/879","122/16177",0.147540983606557,2.71532479158507,4.5586243216975,0.000102402728151158,0.038322251727337,0.0350490956999954,"Klf10/Slc20a2/Bmp4/Sgms2/Phex/Sox9/Fbn2/Alox15/Ptk2b/Ddr2/Gpc3/Bglap/Gja1/Wnt4/Fgfr2/Bglap2/Clec3b/Bmp2",18
"GO:0003007","heart morphogenesis","29/879","253/16177",0.114624505928854,2.10953428033113,4.2637092263663,0.000119285152364215,0.0402950981519065,0.0368534386083429,"Slit3/Efna1/Adgrg6/Sox4/Hey2/Acvrl1/Ttn/Bmp4/Heg1/Zfpm1/Sox9/Jun/Sema3c/Nfatc1/Myl3/Dsp/Xirp2/Bmp5/Ankrd1/Foxh1/Aldh1a2/Stil/Noto/Cplane2/Gja1/Tcap/Fgfr2/Myh7/Bmp2",29
"GO:0003009","skeletal muscle contraction","9/879","37/16177",0.243243243243243,4.4766165482889,5.07479575877591,0.00012423976819704,0.0402950981519065,0.0368534386083429,"Kbtbd13/Chrnb1/Tnnt1/Nr4a1/Atp2a1/Jsrp1/Tcap/Myh7/Chrna1",9
"GO:0060415","muscle tissue morphogenesis","13/879","73/16177",0.178082191780822,3.27740115635763,4.67462485964086,0.000136674915022148,0.0415577163489219,0.0380082148551724,"Hey2/Ttn/Heg1/Zfpm1/Myl3/Dsp/Xirp2/Ankrd1/Foxh1/Tcap/Fgfr2/Myh7/Bmp2",13
"GO:0021984","adenohypophysis development","5/879","11/16177",0.454545454545455,8.36539455993381,5.85738472645025,0.000164338347018932,0.0420792662235317,0.0384852184403891,"Ghrhr/Pou1f1/Wnt4/Ghrh/Bmp2",5
"GO:0031943","regulation of glucocorticoid metabolic process","5/879","11/16177",0.454545454545455,8.36539455993381,5.85738472645025,0.000164338347018932,0.0420792662235317,0.0384852184403891,"Atp1a1/Bmp5/Gal/Wnt4/Bmp2",5
"GO:0032351","negative regulation of hormone metabolic process","5/879","11/16177",0.454545454545455,8.36539455993381,5.85738472645025,0.000164338347018932,0.0420792662235317,0.0384852184403891,"Atp1a1/Pde8b/Bmp5/Wnt4/Bmp2",5
"GO:0071605","monocyte chemotactic protein-1 production","7/879","24/16177",0.291666666666667,5.36779484262419,5.13279517298764,0.000209114887033856,0.04844494882951,0.0443071993730381,"Erbin/Hmgb1/Nr1h4/C1qtnf3/Kcnn4/Clec7a/Cd84",7
"GO:0071637","regulation of monocyte chemotactic protein-1 production","7/879","24/16177",0.291666666666667,5.36779484262419,5.13279517298764,0.000209114887033856,0.04844494882951,0.0443071993730381,"Erbin/Hmgb1/Nr1h4/C1qtnf3/Kcnn4/Clec7a/Cd84",7
"GO:0010001","glial cell differentiation","31/879","288/16177",0.107638888888889,1.98097190620655,4.02640270950609,0.00022293248030946,0.0489508269783123,0.0447698697760212,"Clu/Adgrg6/Dhh/Sox4/Il6st/Tnfrsf21/Hapln3/Pmp22/Bmp4/Cdkn2c/Ano1/Clcn2/Egr2/Arsg/Sox9/Ror2/Gap43/Gcm1/Tmem98/Tlr4/Zfp488/Itgb4/Mir23a/Myoc/Slc45a3/Mal/Prx/Emx1/Erbb3/Bmp2/Mir219a-2",31
"GO:0050810","regulation of steroid biosynthetic process","13/879","77/16177",0.168831168831169,3.10714655083256,4.44262692666889,0.00023818522099124,0.0489508269783123,0.0447698697760212,"Atp1a1/Gpr146/Dhh/Srebf1/Clcn2/Pde8b/Bmp5/Egr1/Ces1b/Bglap/Wnt4/Bglap2/Bmp2",13
"GO:0090030","regulation of steroid hormone biosynthetic process","6/879","18/16177",0.333333333333333,6.13462267728479,5.22456606220726,0.000267088304803701,0.0489508269783123,0.0447698697760212,"Atp1a1/Clcn2/Pde8b/Bmp5/Wnt4/Bmp2",6
"GO:0032341","aldosterone metabolic process","5/879","12/16177",0.416666666666667,7.66827834660599,5.53897196140123,0.000269136079109763,0.0489508269783123,0.0447698697760212,"Ednrb/Clcn2/Bmp5/Wnt4/Bmp2",5
"GO:0048644","muscle organ morphogenesis","13/879","78/16177",0.166666666666667,3.0673113386424,4.38698769388796,0.000271852542191918,0.0489508269783123,0.0447698697760212,"Hey2/Ttn/Heg1/Zfpm1/Myl3/Dsp/Xirp2/Ankrd1/Foxh1/Tcap/Fgfr2/Myh7/Bmp2",13
"GO:0071772","response to BMP","20/879","155/16177",0.129032258064516,2.37469264927153,4.1221688218862,0.000281731378292445,0.0489508269783123,0.0447698697760212,"Itga3/Sulf1/Dlx3/Htra3/Acvrl1/Bmp4/Chrd/Sox9/Ror2/Smad5/Tnfaip6/Fstl3/Bmp5/Mir23a/Gpc3/Egr1/Bglap/Gdf2/Gdf3/Bmp2",20
"GO:0071773","cellular response to BMP stimulus","20/879","155/16177",0.129032258064516,2.37469264927153,4.1221688218862,0.000281731378292445,0.0489508269783123,0.0447698697760212,"Itga3/Sulf1/Dlx3/Htra3/Acvrl1/Bmp4/Chrd/Sox9/Ror2/Smad5/Tnfaip6/Fstl3/Bmp5/Mir23a/Gpc3/Egr1/Bglap/Gdf2/Gdf3/Bmp2",20
